sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
DoBa00000045MP	MP012	LIB-MP012-B10	LIB00006	LIB00006-MP012-B10_1	LIB00006-MP006-B10	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B10/sample_S645_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B10/sample_S645_L004_R2_001.fastq.gz
PaPr00000182MP	MP012	LIB-MP012-B12	LIB00006	LIB00006-MP012-B12_1	LIB00006-MP006-B12	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B12/sample_S657_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B12/sample_S657_L004_R2_001.fastq.gz
PaPr00000223MP	MP012	LIB-MP012-B3	LIB00006	LIB00006-MP012-B3_1	LIB00006-MP006-B3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B3/sample_S598_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B3/sample_S598_L004_R2_001.fastq.gz
DoBa00000023MP	MP012	LIB-MP012-B6	LIB00006	LIB00006-MP012-B6_1	LIB00006-MP006-B6	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B6/sample_S621_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B6/sample_S621_L004_R2_001.fastq.gz
DoBa00000036MP	MP012	LIB-MP012-B7	LIB00006	LIB00006-MP012-B7_1	LIB00006-MP006-B7	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B7/sample_S627_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B7/sample_S627_L004_R2_001.fastq.gz
PaPr00000045MP	MP012	LIB-MP012-B8	LIB00006	LIB00006-MP012-B8_1	LIB00006-MP006-B8	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B8/sample_S632_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-B8/sample_S632_L004_R2_001.fastq.gz
LIB-MP012-C10	MP012	LIB-MP012-C10	LIB00006	LIB00006-MP012-C10_1	LIB00006-MP006-C10	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C10/sample_S646_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C10/sample_S646_L004_R2_001.fastq.gz
DoBa00000006MP	MP012	LIB-MP012-C2	LIB00006	LIB00006-MP012-C2_1	LIB00006-MP006-C2	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C2/sample_S593_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C2/sample_S593_L004_R2_001.fastq.gz
LIB-MP012-C3	MP012	LIB-MP012-C3	LIB00006	LIB00006-MP012-C3_1	LIB00006-MP006-C3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C3/sample_S599_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C3/sample_S599_L004_R2_001.fastq.gz
PaPr00000245MP	MP012	LIB-MP012-C4	LIB00006	LIB00006-MP012-C4_1	LIB00006-MP006-C4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C4/sample_S607_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-C4/sample_S607_L004_R2_001.fastq.gz
